ACap1,ACap2,ACap3,BCap1,BCap2,BCap3
An Giang,Huyện Tịnh Biên,Xã Tân Lợi,AG,HTB,XTL
An Giang,Huyện Tịnh Biên,Xã Văn Giáo,AG,HTB,XVG
An Giang,Huyện Tịnh Biên,Thị trấn Nhà Bàng,AG,HTB,TtNB
An Giang,Huyện Tịnh Biên,Xã An Nông,AG,HTB,XAN
An Giang,Huyện Tịnh Biên,Thị trấn Chi Lăng,AG,HTB,TtCL
An Giang,Huyện Tịnh Biên,Thị trấn Tịnh Biên,AG,HTB,TtTB
An Giang,Huyện Tri Tôn,Xã Vĩnh Gia,AG,HTT,XVG
An Giang,Huyện Tri Tôn,Thị trấn Ba Chúc,AG,HTT,TtBC
An Giang,Huyện Tri Tôn,Xã Lương An Trà,AG,HTT,XLAT
An Giang,Huyện Tri Tôn,Xã Vĩnh Phước,AG,HTT,XVP
An Giang,Huyện Tri Tôn,Xã Lương Phi,AG,HTT,XLP
An Giang,Huyện Tri Tôn,Xã An Tức,AG,HTT,XAT
An Giang,Huyện Tri Tôn,Xã Lạc Quới,AG,HTT,XLQ
An Giang,Huyện Tri Tôn,Xã Núi Tô,AG,HTT,XNT
An Giang,Huyện Tri Tôn,Thị trấn Cô Tô,AG,HTT,TtCT
An Giang,Huyện Tri Tôn,Xã Ô Lâm,AG,HTT,XOL
An Giang,Huyện Tri Tôn,Xã Tân Tuyến,AG,HTT,XTT
An Giang,Huyện Tri Tôn,Xã Lê Trì,AG,HTT,XLT
An Giang,Huyện Tri Tôn,Xã Tà Đảnh,AG,HTT,XTD
An Giang,Huyện Tri Tôn,Xã Châu Lăng,AG,HTT,XCL
An Giang,Huyện Tri Tôn,Thị trấn Tri Tôn,AG,HTT,TtTT
An Giang,Huyện Châu Thành,Thị trấn An Châu,AG,HCT,TtAC
An Giang,Huyện Châu Thành,Xã Vĩnh Thành,AG,HCT,XVT
An Giang,Huyện Châu Thành,Xã Hòa Bình Thạnh,AG,HCT,XHBT
An Giang,Huyện Châu Thành,Xã Vĩnh Lợi,AG,HCT,XVL
An Giang,Huyện Châu Thành,Thị trấn Vĩnh Bình,AG,HCT,TtVB
An Giang,Huyện Châu Thành,Xã Vĩnh Nhuận,AG,HCT,XVN
An Giang,Huyện Châu Thành,Xã Bình Hòa,AG,HCT,XBH
An Giang,Huyện Châu Thành,Xã Bình Thạnh,AG,HCT,XBT
An Giang,Huyện Châu Thành,Xã Tân Phú,AG,HCT,XTP
An Giang,Huyện Châu Thành,Xã Cần Đăng,AG,HCT,XCD
An Giang,Huyện Châu Thành,Xã An Hòa,AG,HCT,XAH
An Giang,Huyện Châu Thành,Xã Vĩnh Hanh,AG,HCT,XVH
An Giang,Huyện Châu Thành,Xã Vĩnh An,AG,HCT,XVA
An Giang,Huyện Thoại Sơn,Xã Vọng Thê,AG,HTS,XVT
An Giang,Huyện Thoại Sơn,Xã Vĩnh Trạch,AG,HTS,XVT
An Giang,Huyện Thoại Sơn,Xã An Bình,AG,HTS,XAB
An Giang,Huyện Thoại Sơn,Xã Vĩnh Phú,AG,HTS,XVP
An Giang,Huyện Thoại Sơn,Xã Phú Thuận,AG,HTS,XPT
An Giang,Huyện Thoại Sơn,Xã Tây Phú,AG,HTS,XTP
An Giang,Huyện Thoại Sơn,Xã Định Thành,AG,HTS,XDT
An Giang,Huyện Thoại Sơn,Xã Mỹ Phú Đông,AG,HTS,XMPD
An Giang,Huyện Thoại Sơn,Xã Bình Thành,AG,HTS,XBT
An Giang,Huyện Thoại Sơn,Xã Vĩnh Chánh,AG,HTS,XVC
An Giang,Huyện Thoại Sơn,Thị trấn Óc Eo,AG,HTS,TtOE
An Giang,Huyện Thoại Sơn,Thị trấn Núi Sập,AG,HTS,TtNS
An Giang,Huyện Thoại Sơn,Xã Thoại Giang,AG,HTS,XTG
An Giang,Huyện Thoại Sơn,Xã Vĩnh Khánh,AG,HTS,XVK
An Giang,Huyện Thoại Sơn,Xã Định Mỹ,AG,HTS,XDM
An Giang,Huyện Thoại Sơn,Thị trấn Phú Hòa,AG,HTS,TtPH
An Giang,Huyện Thoại Sơn,Xã Vọng Đông,AG,HTS,XVD
An Giang,Huyện Chợ Mới,Xã An Thạnh Trung,AG,HCM,XATT
An Giang,Huyện Chợ Mới,Xã Kiến Thành,AG,HCM,XKT
An Giang,Huyện Chợ Mới,Xã Long Điền B,AG,HCM,XLDB
An Giang,Huyện Chợ Mới,Xã Long Kiến,AG,HCM,XLK
An Giang,Huyện Chợ Mới,Thị trấn Chợ Mới,AG,HCM,TtCM
An Giang,Huyện Chợ Mới,Xã Hòa An,AG,HCM,XHA
An Giang,Huyện Chợ Mới,Xã Mỹ An,AG,HCM,XMA
An Giang,Huyện Chợ Mới,Xã Mỹ Hội Đông,AG,HCM,XMHD
An Giang,Huyện Chợ Mới,Xã Nhơn Mỹ,AG,HCM,XNM
An Giang,Huyện Chợ Mới,Xã Kiến An,AG,HCM,XKA
An Giang,Huyện Chợ Mới,Xã Bình Phước Xuân,AG,HCM,XBPX
An Giang,Huyện Chợ Mới,Xã Long Điền A,AG,HCM,XLDA
An Giang,Huyện Chợ Mới,Thị trấn Mỹ Luông,AG,HCM,TtML
An Giang,Huyện Chợ Mới,Xã Tấn Mỹ,AG,HCM,XTM
An Giang,Huyện Chợ Mới,Xã Long Giang,AG,HCM,XLG
An Giang,Huyện Chợ Mới,Xã Hội An,AG,HCM,XHA
An Giang,Huyện Chợ Mới,Xã Mỹ Hiệp,AG,HCM,XMH
An Giang,Huyện Chợ Mới,Xã Hòa Bình,AG,HCM,XHB
An Giang,Thành Phố Long Xuyên,Phường Mỹ Xuyên,AG,TPLX,PMX
An Giang,Thành Phố Long Xuyên,Phường Đông Xuyên,AG,TPLX,PDX
An Giang,Thành Phố Long Xuyên,Phường Mỹ Long,AG,TPLX,PML
An Giang,Thành Phố Long Xuyên,Phường Mỹ Thới,AG,TPLX,PMT
An Giang,Thành Phố Long Xuyên,Phường Bình Khánh,AG,TPLX,PBK
An Giang,Thành Phố Long Xuyên,Phường Mỹ Bình,AG,TPLX,PMB
An Giang,Thành Phố Long Xuyên,Phường Mỹ Thạnh,AG,TPLX,PMT
An Giang,Thành Phố Long Xuyên,Phường Bình Đức,AG,TPLX,PBD
An Giang,Thành Phố Long Xuyên,Phường Mỹ Quý,AG,TPLX,PMQ
An Giang,Thành Phố Long Xuyên,Xã Mỹ Khánh,AG,TPLX,XMK
An Giang,Thành Phố Long Xuyên,Phường Mỹ Hòa,AG,TPLX,PMH
An Giang,Thành Phố Long Xuyên,Phường Mỹ Phước,AG,TPLX,PMP
An Giang,Thành Phố Long Xuyên,Xã Mỹ Hòa Hưng,AG,TPLX,XMHH
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường Thắng Nhì,BRVT,TPVT,PTN
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường Thắng Nhất,BRVT,TPVT,PTN
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường 11,BRVT,TPVT,P1
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường 12,BRVT,TPVT,P1
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường Nguyễn An Ninh,BRVT,TPVT,PNAN
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường 8,BRVT,TPVT,P8
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường 2,BRVT,TPVT,P2
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường 9,BRVT,TPVT,P9
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường 1,BRVT,TPVT,P1
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường Rạch Dừa,BRVT,TPVT,PRD
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường 3,BRVT,TPVT,P3
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Xã Long Sơn,BRVT,TPVT,XLS
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường 10,BRVT,TPVT,P1
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường 5,BRVT,TPVT,P5
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường 4,BRVT,TPVT,P4
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường Thắng Tam,BRVT,TPVT,PTT
Bà Rịa Vũng Tàu,Thành Phố Vũng Tàu,Phường 7,BRVT,TPVT,P7
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Láng Lớn,BRVT,HCD,XLL
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Bình Ba,BRVT,HCD,XBB
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Kim Long,BRVT,HCD,XKL
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Nghĩa Thành,BRVT,HCD,XNT
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Sơn Bình,BRVT,HCD,XSB
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Xà Bang,BRVT,HCD,XXB
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Bàu Chinh,BRVT,HCD,XBC
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Cù Bị,BRVT,HCD,XCB
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Suối Rao,BRVT,HCD,XSR
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Bình Trung,BRVT,HCD,XBT
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Quảng Thành,BRVT,HCD,XQT
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Bình Giã,BRVT,HCD,XBG
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Đá Bạc,BRVT,HCD,XDB
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Suối Nghệ,BRVT,HCD,XSN
Bà Rịa Vũng Tàu,Huyện Châu Đức,Thị trấn Ngãi Giao,BRVT,HCD,TtNG
Bà Rịa Vũng Tàu,Huyện Châu Đức,Xã Xuân Sơn,BRVT,HCD,XXS
Bà Rịa Vũng Tàu,Huyện Đất Đỏ,Thị trấn Phước Hải,BRVT,HDD,TtPH
Bà Rịa Vũng Tàu,Huyện Đất Đỏ,Xã Láng Dài,BRVT,HDD,XLD
Bà Rịa Vũng Tàu,Huyện Đất Đỏ,Xã Phước Hội,BRVT,HDD,XPH
Bà Rịa Vũng Tàu,Huyện Đất Đỏ,Xã Phước Long Thọ,BRVT,HDD,XPLT
Bà Rịa Vũng Tàu,Huyện Đất Đỏ,Xã Lộc An,BRVT,HDD,XLA
Bà Rịa Vũng Tàu,Huyện Đất Đỏ,Xã Long Tân,BRVT,HDD,XLT
Bà Rịa Vũng Tàu,Huyện Đất Đỏ,Xã Long Mỹ,BRVT,HDD,XLM
Bà Rịa Vũng Tàu,Huyện Đất Đỏ,Thị trấn Đất Đỏ,BRVT,HDD,TtDD
Bà Rịa Vũng Tàu,Thành Phố Bà Rịa,Xã Hòa Long,BRVT,TPBR,XHL
Bà Rịa Vũng Tàu,Thành Phố Bà Rịa,Xã Long Phước,BRVT,TPBR,XLP
Bà Rịa Vũng Tàu,Thành Phố Bà Rịa,Phường Phước Nguyên,BRVT,TPBR,PPN
Bà Rịa Vũng Tàu,Thành Phố Bà Rịa,Phường Phước Hiệp,BRVT,TPBR,PPH
Bà Rịa Vũng Tàu,Thành Phố Bà Rịa,Phường Kim Dinh,BRVT,TPBR,PKD
Bà Rịa Vũng Tàu,Thành Phố Bà Rịa,Phường Long Toàn,BRVT,TPBR,PLT
Bà Rịa Vũng Tàu,Thành Phố Bà Rịa,Phường Phước Hưng,BRVT,TPBR,PPH
Bà Rịa Vũng Tàu,Thành Phố Bà Rịa,Phường Phước Trung,BRVT,TPBR,PPT
Bà Rịa Vũng Tàu,Thành Phố Bà Rịa,Xã Tân Hưng,BRVT,TPBR,XTH
Bà Rịa Vũng Tàu,Thành Phố Bà Rịa,Phường Long Tâm,BRVT,TPBR,PLT
Bà Rịa Vũng Tàu,Thành Phố Bà Rịa,Phường Long Hương,BRVT,TPBR,PLH
Bà Rịa Vũng Tàu,Huyện Long Điền,Xã Tam Phước,BRVT,HLD,XTP
Bà Rịa Vũng Tàu,Huyện Long Điền,Thị trấn Long Hải,BRVT,HLD,TtLH
Bà Rịa Vũng Tàu,Huyện Long Điền,Xã Phước Hưng,BRVT,HLD,XPH
Bà Rịa Vũng Tàu,Huyện Long Điền,Xã An Ngãi,BRVT,HLD,XAN
Bà Rịa Vũng Tàu,Huyện Long Điền,Xã An Nhứt,BRVT,HLD,XAN
Bà Rịa Vũng Tàu,Huyện Long Điền,Xã Phước Tỉnh,BRVT,HLD,XPT
Bà Rịa Vũng Tàu,Huyện Long Điền,Thị Trấn Long Điền,BRVT,HLD,TTLD
Bà Rịa Vũng Tàu,Thị Xã Phú Mỹ,Xã Tóc Tiên,BRVT,TXPM,XTT
Bà Rịa Vũng Tàu,Thị Xã Phú Mỹ,Xã Châu Pha,BRVT,TXPM,XCP
Bà Rịa Vũng Tàu,Thị Xã Phú Mỹ,Phường Phước Hòa,BRVT,TXPM,PPH
Bà Rịa Vũng Tàu,Thị Xã Phú Mỹ,Xã Sông Xoài,BRVT,TXPM,XSX
Bà Rịa Vũng Tàu,Thị Xã Phú Mỹ,Phường Tân Phước,BRVT,TXPM,PTP
Bà Rịa Vũng Tàu,Thị Xã Phú Mỹ,Xã Tân Hòa,BRVT,TXPM,XTH
Bà Rịa Vũng Tàu,Thị Xã Phú Mỹ,Xã Tân Hải,BRVT,TXPM,XTH
Bà Rịa Vũng Tàu,Thị Xã Phú Mỹ,Phường Mỹ Xuân,BRVT,TXPM,PMX
Bà Rịa Vũng Tàu,Thị Xã Phú Mỹ,Phường Phú Mỹ,BRVT,TXPM,PPM
Bà Rịa Vũng Tàu,Thị Xã Phú Mỹ,Phường Hắc Dịch,BRVT,TXPM,PHD
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Xã Hòa Hội,BRVT,HXM,XHH
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Xã Xuyên Mộc,BRVT,HXM,XXM
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Xã Bình Châu,BRVT,HXM,XBC
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Xã Bàu Lâm,BRVT,HXM,XBL
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Xã Hòa Bình,BRVT,HXM,XHB
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Xã Phước Thuận,BRVT,HXM,XPT
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Xã Hòa Hiệp,BRVT,HXM,XHH
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Xã Bông Trang,BRVT,HXM,XBT
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Xã Bưng Riềng,BRVT,HXM,XBR
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Xã Phước Tân,BRVT,HXM,XPT
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Xã Tân Lâm,BRVT,HXM,XTL
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Xã Hòa Hưng,BRVT,HXM,XHH
Bà Rịa Vũng Tàu,Huyện Xuyên Mộc,Thị Trấn Phước Bửu,BRVT,HXM,TTPB
Bà Rịa Vũng Tàu,Huyện Côn Đảo,,BRVT,HCD,#CALC!
Bắc Giang,Huyện Hiệp Hoà,Xã Hoàng Lương,BG,HHH,XHL
Bắc Giang,Huyện Hiệp Hoà,Xã Thái Sơn,BG,HHH,XTS
Bắc Giang,Huyện Hiệp Hoà,Thị trấn Thắng,BG,HHH,TtT
Bắc Giang,Huyện Hiệp Hoà,Xã Hòa Sơn,BG,HHH,XHS
Bắc Giang,Huyện Hiệp Hoà,Xã Mai Trung,BG,HHH,XMT
Bắc Giang,Huyện Hiệp Hoà,Xã Lương Phong,BG,HHH,XLP
Bắc Giang,Huyện Hiệp Hoà,Xã Bắc Lý,BG,HHH,XBL
Bắc Giang,Huyện Hiệp Hoà,Xã Đoan Bái,BG,HHH,XDB
Bắc Giang,Huyện Hiệp Hoà,Xã Mai Đình,BG,HHH,XMD
Bắc Giang,Huyện Hiệp Hoà,Xã Hương Lâm,BG,HHH,XHL
Bắc Giang,Huyện Hiệp Hoà,Xã Quang Minh,BG,HHH,XQM
Bắc Giang,Huyện Hiệp Hoà,Xã Danh Thắng,BG,HHH,XDT
Bắc Giang,Huyện Hiệp Hoà,Xã Ngọc Sơn,BG,HHH,XNS
Bắc Giang,Huyện Hiệp Hoà,Xã Thường Thắng,BG,HHH,XTT
Bắc Giang,Huyện Hiệp Hoà,Xã Đại Thành,BG,HHH,XDT
Bắc Giang,Huyện Hiệp Hoà,Xã Đồng Tân,BG,HHH,XDT
Bắc Giang,Huyện Hiệp Hoà,Xã Hoàng Thanh,BG,HHH,XHT
Bắc Giang,Huyện Hiệp Hoà,Xã Xuân Cẩm,BG,HHH,XXC
Bắc Giang,Huyện Hiệp Hoà,Xã Đông Lỗ,BG,HHH,XDL
Bắc Giang,Huyện Hiệp Hoà,Xã Hợp Thịnh,BG,HHH,XHT
Bắc Giang,Huyện Hiệp Hoà,Xã Hoàng Vân,BG,HHH,XHV
Bắc Giang,Huyện Hiệp Hoà,Xã Châu Minh,BG,HHH,XCM
Bắc Giang,Huyện Hiệp Hoà,Xã Hoàng An,BG,HHH,XHA
Bắc Giang,Huyện Hiệp Hoà,Xã Hùng Sơn,BG,HHH,XHS
Bắc Giang,Huyện Hiệp Hoà,Xã Thanh Vân,BG,HHH,XTV
Bắc Giang,Huyện Lạng Giang,Xã Hương Lạc,BG,HLG,XHL
Bắc Giang,Huyện Lạng Giang,Xã Nghĩa Hưng,BG,HLG,XNH
Bắc Giang,Huyện Lạng Giang,Xã An Hà,BG,HLG,XAH
Bắc Giang,Huyện Lạng Giang,Xã Xuân Hương,BG,HLG,XXH
Bắc Giang,Huyện Lạng Giang,Xã Đào Mỹ,BG,HLG,XDM
Bắc Giang,Huyện Lạng Giang,Xã Mỹ Hà,BG,HLG,XMH
Bắc Giang,Huyện Lạng Giang,Thị trấn Kép,BG,HLG,TtK
Bắc Giang,Huyện Lạng Giang,Xã Thái Đào,BG,HLG,XTD
Bắc Giang,Huyện Lạng Giang,Xã Quang Thịnh,BG,HLG,XQT
Bắc Giang,Huyện Lạng Giang,Xã Tân Thanh,BG,HLG,XTT
Bắc Giang,Huyện Lạng Giang,Xã Dương Đức,BG,HLG,XDD
Bắc Giang,Huyện Lạng Giang,Xã Mỹ Thái,BG,HLG,XMT
Bắc Giang,Huyện Lạng Giang,Xã Tiên Lục,BG,HLG,XTL
Bắc Giang,Huyện Lạng Giang,Xã Tân Dĩnh,BG,HLG,XTD
Bắc Giang,Huyện Lạng Giang,Thị trấn Vôi,BG,HLG,TtV
Bắc Giang,Huyện Lạng Giang,Xã Xương Lâm,BG,HLG,XXL
Bắc Giang,Huyện Lạng Giang,Xã Nghĩa Hòa,BG,HLG,XNH
Bắc Giang,Huyện Lạng Giang,Xã Hương Sơn,BG,HLG,XHS
Bắc Giang,Huyện Lạng Giang,Xã Tân Hưng,BG,HLG,XTH
Bắc Giang,Huyện Lạng Giang,Xã Đại Lâm,BG,HLG,XDL
Bắc Giang,Huyện Lạng Giang,Xã Yên Mỹ,BG,HLG,XYM
Bắc Giang,Huyện Lục Nam,Xã Phương Sơn,BG,HLN,XPS
Bắc Giang,Huyện Lục Nam,Xã Bảo Sơn,BG,HLN,XBS
Bắc Giang,Huyện Lục Nam,Xã Đông Phú,BG,HLN,XDP
Bắc Giang,Huyện Lục Nam,Xã Thanh Lâm,BG,HLN,XTL
Bắc Giang,Huyện Lục Nam,Xã Bắc Lũng,BG,HLN,XBL
Bắc Giang,Huyện Lục Nam,Xã Đan Hội,BG,HLN,XDH
Bắc Giang,Huyện Lục Nam,Xã Tam Dị,BG,HLN,XTD
Bắc Giang,Huyện Lục Nam,Xã Bình Sơn,BG,HLN,XBS
Bắc Giang,Huyện Lục Nam,Xã Chu Điện,BG,HLN,XCD
Bắc Giang,Huyện Lục Nam,Xã Trường Giang,BG,HLN,XTG
Bắc Giang,Huyện Lục Nam,Xã Yên Sơn,BG,HLN,XYS
Bắc Giang,Huyện Lục Nam,Xã Huyền Sơn,BG,HLN,XHS
Bắc Giang,Huyện Lục Nam,Xã Vô Tranh,BG,HLN,XVT
Bắc Giang,Huyện Lục Nam,Xã Trường Sơn,BG,HLN,XTS
Bắc Giang,Huyện Lục Nam,Xã Cẩm Lý,BG,HLN,XCL
Bắc Giang,Huyện Lục Nam,Xã Nghĩa Phương,BG,HLN,XNP
Bắc Giang,Huyện Lục Nam,Xã Khám Lạng,BG,HLN,XKL
Bắc Giang,Huyện Lục Nam,Xã Lục Sơn,BG,HLN,XLS
Bắc Giang,Huyện Lục Nam,Xã Cương Sơn,BG,HLN,XCS
Bắc Giang,Huyện Lục Nam,Xã Bảo Đài,BG,HLN,XBD
Bắc Giang,Huyện Lục Nam,Xã Tiên Nha,BG,HLN,XTN
Bắc Giang,Huyện Lục Nam,Xã Lan Mẫu,BG,HLN,XLM
Bắc Giang,Huyện Lục Nam,Thị trấn Đồi Ngô,BG,HLN,TtDN
Bắc Giang,Huyện Lục Nam,Xã Vũ Xá,BG,HLN,XVX
Bắc Giang,Huyện Lục Nam,Xã Đông Hưng,BG,HLN,XDH
Bắc Giang,Huyện Lục Ngạn,Xã Phú Nhuận,BG,HLN,XPN
Bắc Giang,Huyện Lục Ngạn,Xã Sơn Hải,BG,HLN,XSH
Bắc Giang,Huyện Lục Ngạn,Xã Phong Vân,BG,HLN,XPV
Bắc Giang,Huyện Lục Ngạn,Xã Biên Sơn,BG,HLN,XBS
Bắc Giang,Huyện Lục Ngạn,Xã Sa Lý,BG,HLN,XSL
